St,Mt,Di,Lo,Cr,Sn,Df,Dg,Lk
regular,HDPE,Medium,Erf,No,Low,False,No,Negative
dolomite,Upvc,Small,Exit,No,Low,False,No,Negative
regular,Upvc,Medium,Erf,No,Low,False,No,Negative
regular,HDPE,Small,Exit,No,Low,False,Yes,Negative
regular,HDPE,Small,Exit,No,High,False,Yes,Negative
regular,HDPE,Medium,Erf,No,NoStrain,False,No,Negative
regular,Upvc,Small,Erf,No,Low,False,No,Negative
regular,HDPE,Small,Erf,No,NoStrain,False,No,Negative
regular,steel,Small,Erf,Yes,Low,False,No,Negative
regular,Upvc,Small,Erf,No,Low,False,Yes,Negative
regular,Upvc,Small,Erf,No,NoStrain,False,No,Negative
regular,steel,Small,Erf,No,Low,False,No,Negative
regular,Upvc,Small,Exit,No,High,False,Yes,Negative
regular,HDPE,Medium,Erf,No,NoStrain,False,No,Negative
regular,Upvc,Medium,Erf,No,NoStrain,False,No,Negative
regular,Upvc,Medium,Exit,No,Low,False,No,Negative
regular,HDPE,Small,Erf,No,Low,False,No,Negative
regular,steel,Small,Erf,No,Low,False,No,Negative
regular,steel,Small,Exit,No,High,False,No,Negative
regular,Upvc,Small,Erf,No,Low,False,No,Negative
regular,Upvc,Small,Erf,No,NoStrain,False,No,Negative
regular,HDPE,Small,Erf,No,Low,False,No,Negative
regular,steel,Small,Erf,No,NoStrain,False,No,Negative
regular,Upvc,Small,Exit,No,High,False,No,Negative
regular,Upvc,Small,Erf,No,Low,False,Yes,Negative
regular,steel,Small,Erf,No,Low,False,No,Negative
regular,Upvc,Medium,Exit,No,NoStrain,False,No,Negative
regular,HDPE,Small,Erf,No,NoStrain,False,No,Negative
dolomite,HDPE,Small,Erf,No,Low,False,No,Negative
regular,HDPE,Small,Erf,No,NoStrain,False,No,Negative
dolomite,Upvc,Small,Erf,No,NoStrain,False,No,Negative
regular,HDPE,Small,Erf,No,Low,False,No,Negative
regular,Upvc,Medium,Erf,No,Low,False,No,Negative
dolomite,Upvc,Medium,Exit,No,Low,False,No,Negative
regular,Upvc,Medium,Erf,No,NoStrain,False,No,Negative
regular,steel,Small,Exit,Yes,NoStrain,False,No,Negative
regular,Upvc,Small,Erf,No,NoStrain,False,Yes,Positive
regular,Upvc,Medium,Erf,No,Low,False,No,Negative
dolomite,HDPE,Small,Exit,No,Low,False,No,Negative
regular,ACD,Small,Erf,No,Low,False,No,Negative
regular,Upvc,Large,Erf,No,NoStrain,False,No,Negative
regular,Upvc,Medium,Erf,No,Low,False,No,Negative
regular,Upvc,Small,Erf,No,NoStrain,False,Yes,Positive
regular,HDPE,Small,Exit,No,High,False,Yes,Negative
regular,Upvc,Small,Exit,No,High,False,Yes,Positive
regular,ACD,Small,Exit,No,High,False,Yes,Negative
regular,HDPE,Small,Erf,No,Low,False,Yes,Negative
regular,Upvc,Small,Erf,No,High,False,Yes,Negative
regular,Upvc,Medium,Erf,No,Low,False,No,Negative
regular,steel,Medium,Erf,No,Low,False,No,Negative
regular,Upvc,Medium,Exit,No,High,False,Yes,Positive
regular,HDPE,Small,Erf,No,High,False,Yes,Negative
regular,Upvc,Small,Exit,No,High,False,Yes,Negative
regular,steel,Medium,Erf,No,NoStrain,False,No,Negative
regular,HDPE,Medium,Erf,No,Low,False,No,Negative
regular,ACD,Medium,Exit,No,High,False,Yes,Negative
regular,ACD,Medium,Erf,Yes,High,False,Yes,Positive
regular,steel,Small,Erf,Yes,NoStrain,False,No,Negative
dolomite,Upvc,Small,Exit,No,Low,False,No,Negative
dolomite,HDPE,Medium,Erf,No,High,False,No,Negative
dolomite,Upvc,Small,Erf,No,Low,False,No,Negative
dolomite,HDPE,Medium,Exit,No,Low,False,No,Negative
regular,Upvc,Small,Exit,No,High,False,No,Negative
regular,Upvc,Small,Exit,No,Low,False,No,Negative
regular,Upvc,Small,Erf,No,Low,False,No,Negative
regular,steel,Small,Erf,No,Low,False,No,Negative
regular,steel,Small,Erf,No,NoStrain,False,No,Negative
regular,steel,Medium,Exit,Yes,Low,False,No,Negative
regular,HDPE,Medium,Erf,No,NoStrain,False,No,Negative
regular,steel,Medium,Erf,Yes,Low,False,No,Negative
dolomite,HDPE,Medium,Erf,No,NoStrain,False,No,Negative
